TRDE_CD,VSL_SVCE_LANE_CD,VSL_CD,SCH_VOY_NR,SCH_DIR_CD,BSA_EFCT_FM_DT,TEU_CAPA,RF_CAPA
FET,EA4,NCAT,0537,E,2025/10/05 06:00:00,1900,200
EAT,PHX,LSPT,0012,N,2025/10/17 14:00:00,1900,300
LET,SX1,PNOT,2532,E,2025/09/22 06:00:00,10000,100
LET,SX1,SHET,2539,W,2025/09/23 02:00:00,9150,1400
TPT,FP1,OHOT,0053,E,2025/09/11 12:00:00,8200,800
TPT,FP1,NOCT,0079,W,2025/09/16 06:30:00,8200,784
LET,SX2,SOKT,0028,E,2025/09/03 11:00:00,400,50
OCT,WAU,XIMT,0531,S,2025/07/28 06:00:00,2750,300
LET,SX2,ERNT,0109,E,2025/07/16 11:00:00,400,50
LET,SX2,NFGT,0102,E,2025/09/24 05:00:00,400,50
FET,SAC,BKGT,0510,W,2025/07/22 03:00:00,3300,300
EAT,PHX,LSPT,0016,N,2025/12/12 14:00:00,1900,300
EAT,PHX,USNT,0030,S,2025/11/28 03:00:00,1900,300
LUT,LUX,NDMT,0119,N,2025/06/28 00:00:00,3200,330
IET,ST2,SDBT,0053,W,2025/08/15 17:00:00,1000,100
LET,SX2,ERNT,0110,E,2025/10/01 11:00:00,400,50
LNT,ANG,RDVT,2536,N,2025/10/04 23:00:00,4200,400
EFT,SRX,ORYT,0254,N,2025/11/26 05:00:00,5600,1176
LET,CX1,GMET,0535,N,2025/09/02 14:00:00,1800,200
LET,CX1,CYCT,0541,S,2025/10/09 07:00:00,1800,200
LET,CX1,GMET,0543,N,2025/10/28 14:00:00,1800,200
TAT,AT2,BRNT,0026,E,2026/05/16 07:00:00,5800,347
EAT,KC2,NIST,0177,N,2025/12/18 07:00:00,2100,200
EAT,PHX,JJST,0031,S,2026/01/14 15:00:00,1900,300
EAT,KC2,NIST,0177,S,2025/11/27 01:00:00,2100,200
EAT,KC2,NIST,0176,N,2025/11/13 07:00:00,2100,200
EAT,JPH,NDLT,0166,N,2025/11/06 21:00:00,2000,200
EAT,PHX,GCLT,0145,N,2025/11/14 14:00:00,1900,300
EAT,PHX,GCLT,0146,S,2025/12/05 03:00:00,1900,300
EAT,PHX,GCLT,0144,N,2025/10/31 14:00:00,1900,300
EAT,KCS,RCMT,0089,S,2025/12/06 10:00:00,2000,99
TPT,FP1,OEHT,0097,W,2025/08/13 14:00:00,8200,800
LWT,AX3,ORIT,2530,W,2025/08/27 03:00:00,8900,1000
NET,FE4,ONVT,0009,W,2025/12/19 20:00:00,21000,2160
NET,FE4,ISPT,0006,W,2025/08/29 20:00:00,21000,2160
TPT,FP2,LIAT,0065,W,2025/08/21 21:00:00,9700,700
OCT,NZJ,NFMT,0133,S,2025/07/31 13:00:00,3300,500
NET,FE4,IGTT,0006,W,2025/08/15 20:00:00,21000,2160
NET,FP2,LIAT,0066,W,2026/01/08 21:00:00,9600,1000
TPT,PS3,CIKT,1001,E,2025/06/23 17:00:00,7200,630
LWT,AX2,OCBT,2537,E,2025/09/13 12:00:00,8500,1000
LWT,AX2,OITT,2546,E,2025/11/15 12:00:00,8500,100
TPT,PN1,OILT,0010,E,2025/12/04 05:00:00,5900,350
WAT,TE1,BHHT,0017,E,2025/10/11 09:00:00,2600,260
LWT,MAR,NJOT,0197,W,2025/07/15 11:00:00,2100,330
LWT,MAR,NLAT,0658,W,2025/11/11 11:00:00,2100,330
LWT,MAR,NLAT,0660,E,2025/12/23 04:00:00,2100,330
TPT,EC2,OSWT,0032,E,2025/09/09 12:00:00,12200,800
LWT,AX3,YDET,0039,E,2025/05/31 04:00:00,8500,1000
TPT,PN1,PXET,0007,W,2025/12/18 17:00:00,5100,500
LWT,MAR,NKST,0429,W,2025/09/30 11:00:00,2100,330
TPT,FP2,SSPT,0503,W,2025/07/31 21:00:00,9700,700
NET,EES,SDBT,0053,N,2025/08/12 16:00:00,3800,300
TPT,EC3,ODDT,0027,W,2025/08/17 04:30:00,12500,800
WAT,TIP,DINT,0011,W,2026/02/16 19:00:00,4200,420
TPT,EC1,MCWT,0233,W,2025/10/12 17:30:00,7200,630
TPT,EC4,OMST,0103,E,2025/07/14 19:00:00,7200,630
TPT,EC4,CMJT,0064,E,2025/09/08 19:00:00,7200,630
TPT,EC1,MCWT,0234,W,2026/01/18 17:30:00,7200,630
TPT,EC1,MITT,0070,W,2025/09/21 17:30:00,10000,1000
TPT,EC4,OCNT,0073,E,2025/07/07 19:00:00,7200,630
TPT,FP2,CNCT,0142,E,2025/09/06 15:00:00,9700,700
TPT,FP2,LIAT,0066,E,2025/11/01 15:00:00,10000,100
TPT,FP2,SSPT,0504,W,2025/12/25 21:00:00,9600,1000
WAT,TE1,BHHT,0014,W,2025/07/22 11:00:00,2600,260
TPT,EC1,OCNT,0076,E,2026/01/17 05:00:00,7350,700
WAT,TE1,BHHT,0018,E,2025/11/01 09:00:00,2600,260
TPT,MS2,ORWT,0005,E,2025/08/01 06:00:00,13500,1300
TPT,FP1,OOHT,0074,E,2025/04/24 12:00:00,8200,784
TPT,PN1,MQDT,0088,E,2025/12/18 05:00:00,5850,520
TPT,PN1,MQDT,0088,W,2026/01/08 17:00:00,5850,520
NET,FP1,HMIT,0082,W,2025/07/23 14:00:00,8200,800
TPT,WIN,ORFT,0004,W,2025/02/21 13:30:00,1000,100
TAT,AT2,BRNT,0019,W,2025/07/28 19:00:00,5800,347
TPT,AP1,SPBT,2433,W,2025/01/22 04:00:00,1000,100
TAT,AL5,NRET,0080,E,2025/09/18 02:00:00,3800,330
TAT,AL5,NRET,0080,W,2025/08/12 06:00:00,3800,330
TAT,AT2,MPFT,0247,E,2025/08/09 07:00:00,5800,347
NET,FE4,OQRT,0027,E,2025/08/20 06:00:00,19300,1500
TAT,AL5,NRIT,0078,W,2025/06/24 06:00:00,3800,330
NET,FP1,NVET,0084,E,2025/07/24 12:00:00,8200,800
NET,FP1,HLLT,0225,W,2025/08/13 14:00:00,8200,800
TPT,PS3,OXMT,0074,E,2025/05/22 13:00:00,8200,700
EAT,CTP,CBDT,0277,S,2025/09/26 21:00:00,2000,200
EAT,CTP,TSCT,0034,S,2025/07/04 21:00:00,2000,200
NET,FP1,HKGT,0086,E,2025/08/07 12:00:00,8200,800
NET,FP1,OHST,0061,E,2025/08/28 12:00:00,8200,800
NET,FP1,ONZT,0059,W,2025/07/30 14:00:00,8200,800
OCT,AUN,WAHT,0538,S,2025/09/19 08:00:00,5400,400
NET,IOX,OIST,0078,E,2025/06/12 13:00:00,6000,600
NET,TSX,PPPT,0056,S,2025/07/01 06:00:00,1000,100
NET,TSX,PPPT,0062,N,2025/08/22 13:00:00,1000,100
LWT,AX3,SCNT,2525,W,2025/07/23 03:00:00,8900,1000
LWT,AX4,TGBT,0021,E,2025/08/24 04:00:00,1000,100
NET,TSX,PPPT,0072,S,2025/11/04 06:00:00,1000,100
NET,TSX,PPPT,0037,S,2025/02/04 06:00:00,,
NET,TSX,PPPT,0050,S,2025/05/20 06:00:00,1000,100
OCT,NZJ,SNKT,0125,N,2025/10/19 18:00:00,3300,500
OCT,NZJ,SNKT,0125,S,2025/09/25 13:00:00,3300,500
OCT,NZJ,SNKT,0124,S,2025/08/07 13:00:00,3300,500
NET,TSX,PPPT,0066,S,2025/09/23 06:00:00,1000,100
NET,TSX,PPPT,0038,N,2025/02/14 13:00:00,,
NET,TSX,PPPT,0049,S,2025/05/13 06:00:00,1000,100
NET,TSX,PPPT,0071,S,2025/10/28 06:00:00,1000,100
LWT,AX4,NLVT,0007,W,2025/08/26 04:00:00,1000,100
OCT,NZJ,NFMT,0134,S,2025/09/18 13:00:00,3300,500
NET,TSX,PPPT,0074,N,2025/11/21 13:00:00,1000,100
LWT,AX4,TGBT,0020,E,2025/07/06 04:00:00,1000,100
LWT,AX4,TGBT,0019,W,2025/06/10 04:00:00,1000,100
OCT,NZJ,SNKT,0124,N,2025/08/31 18:00:00,3300,500
NET,TSX,PPPT,0044,N,2025/04/04 13:00:00,1000,100
NET,TSX,PPPT,0039,N,2025/02/21 13:00:00,,
NET,TSX,PPPT,0068,N,2025/10/10 13:00:00,1000,100
LWT,AX4,TGBT,0023,W,2025/12/23 04:00:00,,
LWT,AX4,TGBT,0021,W,2025/09/16 04:00:00,1000,100
OCT,WAU,SIAT,0604,S,2026/01/19 00:00:00,2750,300
TPT,AHX,KLZT,0055,E,2025/11/11 00:00:00,860,86
TPT,AHX,NBDT,0996,E,2025/07/22 00:00:00,860,86
TPT,AHX,KLZT,0052,E,2025/07/08 00:00:00,860,86
TPT,AHX,ASDT,0060,W,2025/05/22 05:00:00,860,86
NET,IOX,ORFT,0005,E,2025/05/25 14:00:00,6000,600
LWT,MAR,NLAT,0663,E,2026/03/17 04:00:00,2100,330
LWT,MAR,NKST,0433,E,2026/01/06 04:00:00,2100,330
EAT,JK2,ICLT,0185,W,2025/11/05 08:00:00,25,10
NET,IOX,ORMT,0008,W,2025/12/01 19:00:00,6000,600
IET,ILX,TOOT,0040,N,2025/10/27 01:00:00,700,135
IET,BBX,LAAT,0019,N,2025/08/08 08:00:00,950,200
IET,BBX,SDBT,0055,S,2025/09/19 05:00:00,750,160
EAT,JK2,ICLT,0192,W,2025/12/24 08:00:00,25,10
EAT,JK2,ICLT,0192,E,2025/12/23 02:00:00,25,10
IET,ILX,TOOT,0043,N,2025/11/24 06:00:00,700,135
EAT,JPH,LSFT,0230,S,2025/12/20 15:00:00,1950,240
FWT,AIM,AXBT,2541,W,2025/10/10 05:00:00,2850,225
EAT,JV2,ARGT,0268,N,2025/12/27 21:00:00,2000,250
WAT,CIP,OMJT,0021,W,2025/09/15 09:00:00,5000,400
WAT,CIP,OMJT,0021,E,2025/10/04 02:00:00,5000,400
WAT,CIP,OIST,0083,W,2025/12/08 09:00:00,5000,400
TAT,AL5,NRIT,0082,W,2026/04/07 06:00:00,3800,330
FET,MIM,BRFT,0013,W,2026/02/16 23:00:00,1300,195
EAT,CTP,TUNT,0019,N,2025/12/28 07:00:00,2000,200
FET,MIM,BRFT,0013,E,2026/03/05 19:00:00,1300,195
EAT,JID,DIYT,0252,N,2025/07/19 18:00:00,1000,100
EAT,JID,NGOT,0025,S,2025/12/27 05:00:00,1000,100
EAT,PHX,LSPT,0010,N,2025/09/19 14:00:00,1900,300
EAT,PHX,LSPT,0004,S,2025/07/04 03:00:00,1900,300
EFT,SRX,OLUT,0255,S,2026/01/26 08:00:00,5600,1176
IET,BBX,SDBT,0063,N,2025/12/12 14:00:00,950,200
FET,SAC,BYBT,0212,W,2025/09/30 03:00:00,3300,300
EAT,SMM,FLNT,0957,N,2025/11/13 17:00:00,900,135
TPT,EC1,SEYT,0505,E,2025/06/21 05:00:00,8900,800
FET,SAC,NFUT,1027,W,2026/03/17 03:00:00,3800,480
TPT,FP1,OHOT,0052,E,2025/04/10 12:00:00,8200,800
EAT,SMM,FLNT,0948,N,2025/08/03 18:00:00,900,135
EAT,JK1,CNFT,0243,E,2025/12/03 13:00:00,900,90
EAT,JV2,JJST,0030,S,2025/12/24 15:00:00,2000,250
EAT,JV2,JJST,0028,N,2025/11/22 21:00:00,2000,250
EAT,JVH,QPRT,0224,S,2025/12/08 03:30:00,1300,195
EAT,PHX,LSPT,0015,N,2025/11/28 14:00:00,1900,300
EAT,PHX,USNT,0024,S,2025/09/05 03:00:00,1900,300
FET,EA3,LTST,0530,W,2025/07/27 10:00:00,3333,300
EAT,CTP,XCLT,0318,N,2025/09/21 07:00:00,2000,200
EAT,CTP,LRLT,0003,S,2025/10/03 21:00:00,2000,200
WAT,GS2,OSWT,0032,W,2025/10/19 22:00:00,12200,800
LET,CX1,GMET,0540,N,2025/10/07 14:00:00,1800,200
OCT,AUN,WAHT,0603,N,2026/01/13 12:00:00,5400,400
LET,CX1,GMET,0544,N,2025/11/04 14:00:00,1800,200
TPT,FP1,OHHT,0094,E,2025/04/03 12:00:00,8200,800
LET,CX1,GMET,0532,S,2025/08/07 07:00:00,1800,200
NET,FE4,OIGT,0027,W,2025/08/08 20:00:00,18300,1000
TAT,AL5,NROT,0077,W,2025/12/30 06:00:00,3800,330
IET,ST2,LNNT,0034,W,2025/12/12 17:00:00,1200,150
IET,ST2,LNNT,0032,W,2025/10/31 17:00:00,1200,150
LET,SX2,MXQT,0098,E,2025/12/10 05:00:00,400,50
LET,SX2,WHOT,0043,E,2025/10/01 05:00:00,400,50
TPT,FP2,OTIT,0070,E,2025/08/23 15:00:00,9700,700
LUT,LUX,NDIT,0021,S,2025/12/03 17:00:00,3200,330
LUT,LUX,NDIT,0020,N,2025/11/08 00:00:00,3200,330
LUT,LUX,NDOT,0022,N,2026/02/05 09:00:00,3200,330
TPT,FP1,OTIT,0072,W,2026/02/18 14:00:00,8200,800
WAT,TIP,ARET,0121,W,2025/12/02 01:00:00,4200,420
WAT,TIP,CQAT,0007,E,2025/12/08 13:00:00,4000,420
WAT,TIP,CQAT,0003,W,2025/07/08 01:00:00,4000,420
TPT,PN1,SEFT,0098,W,2025/08/28 17:00:00,5900,350
TPT,PN1,SEFT,0100,W,2025/12/04 17:00:00,5900,350
TAT,AL5,NMTT,0090,W,2026/05/05 06:00:00,3800,330
TPT,PS3,CCQT,0034,E,2025/12/25 21:00:00,7350,700
OCT,WAU,GRET,0535,S,2025/08/25 00:00:00,2750,300
OCT,WAU,XIMT,0550,N,2025/12/11 05:30:00,2750,300
TPT,EC2,CRNT,0097,W,2025/09/18 19:00:00,12200,800
TPT,EC2,HYZT,0042,E,2025/07/22 12:00:00,12200,800
TAT,EMA,KGST,0018,E,2026/01/23 10:30:00,2850,300
TAT,EMA,EDWT,0100,E,2026/02/06 10:30:00,2850,300
TPT,EC3,ONGT,0028,E,2025/07/19 05:00:00,12200,800
TPT,EC4,OEAT,0083,W,2025/12/08 19:00:00,6200,500
TPT,EC4,OMST,0105,E,2025/12/15 19:00:00,7200,630
LWT,AX3,OPKT,2537,W,2025/10/15 03:00:00,8900,1000
LWT,AX3,RGST,2551,E,2025/12/20 04:00:00,8900,1000
TPT,EC4,OEAT,0082,W,2025/09/15 19:00:00,6500,500
LWT,AX3,RGST,2538,W,2025/10/22 03:00:00,8900,1000
LWT,AX3,ORIT,2543,W,2025/11/26 03:00:00,8900,1000
TPT,FP2,OTIT,0070,W,2025/11/13 21:00:00,9600,1000
TPT,FP2,YDET,0041,W,2026/01/01 21:00:00,9700,700
TPT,FP1,OHIT,0064,W,2026/03/04 14:00:00,8200,800
TPT,FP1,HKGT,0087,W,2026/03/18 14:00:00,8200,800
IET,LEX,RNXT,0011,S,2025/09/24 03:00:00,2000,240
IET,LEX,NOTT,0004,N,2025/06/02 07:00:00,2100,240
IET,IRX,XPBT,2536,W,2025/09/04 07:30:00,1000,100
IET,IRX,XPBT,1383,W,2025/03/27 07:30:00,1000,100
IET,AD1,MOMT,0002,E,2025/02/05 17:00:00,700,200
IET,AD1,MOMT,0001,W,2025/01/30 22:00:00,700,200
EAT,IAE,ICLT,0152,W,2025/03/15 23:00:00,0,0
IET,AD2,PBET,0101,E,2025/08/26 01:00:00,1350,150
IET,AD2,PBET,0094,W,2025/01/18 05:00:00,1350,150
IET,AD2,PBET,0099,E,2025/07/08 01:00:00,1350,150
IET,IRX,XPBT,2533,W,2025/08/14 07:30:00,1000,100
IET,AD2,PBET,0099,W,2025/07/19 06:00:00,1350,150
IET,AD2,PBET,0096,E,2025/04/01 01:00:00,1350,150
IET,LEX,IKET,0003,N,2025/05/26 07:00:00,1900,240
LWT,MAR,NKST,0434,W,2026/02/17 11:00:00,2100,330
IET,AD1,MOMT,0010,E,2025/06/18 17:00:00,700,200
IET,LEX,IKET,0002,S,2025/03/15 07:00:00,2100,240
IET,AD1,SDBT,0047,W,2025/05/06 13:00:00,700,150
IET,AD1,MOMT,0009,W,2025/06/10 13:00:00,700,200
IET,LEX,LTRT,0032,S,2025/02/22 07:00:00,2000,240
IET,LEX,NOTT,0009,S,2025/11/26 03:00:00,2100,240
IET,BT1,IGGT,0057,N,2025/07/26 13:00:00,1400,0
IET,BT1,MOMT,0018,N,2025/10/01 01:00:00,1400,0
IET,BT1,IGGT,0056,S,2025/07/19 17:00:00,1400,0
TPT,EC3,NCMT,0029,E,2025/11/29 05:00:00,12500,800
IET,BT1,MOMT,0020,N,2025/10/15 01:00:00,1400,0
IET,BT1,MOMT,0019,S,2025/10/11 13:00:00,1400,0
IET,BT1,MOMT,0016,N,2025/09/17 01:00:00,1400,0
LWT,FLX,MEQT,0016,S,2025/11/01 22:00:00,1000,100
TAT,AL5,NDMT,0120,E,2025/10/02 02:00:00,3800,330
TAT,AT2,ARUT,0231,E,2025/10/11 07:00:00,5800,347
TAT,AT2,MPFT,0251,W,2026/01/05 19:00:00,5800,347
TAT,AT2,MPFT,0249,W,2025/10/06 19:00:00,5800,347
TAT,AT2,OTRT,0119,W,2025/12/15 19:00:00,5800,347
TAT,AT2,MPFT,0250,W,2025/11/17 19:00:00,5800,347
LWT,FLX,MEQT,0017,S,2025/12/13 22:00:00,1000,100
LWT,FLX,PSHT,0006,N,2025/03/13 13:00:00,0,0
TPT,FP1,HLLT,0226,E,2025/07/19 05:00:00,8200,800
EAT,JPH,NDLT,0165,S,2025/10/04 15:00:00,2000,200
LET,CX1,GMET,0533,S,2025/08/14 07:00:00,1800,200
EAT,JV2,NCAT,0532,S,2025/11/12 15:00:00,2000,250
LET,CX1,CYCT,0547,N,2025/11/25 14:00:00,1800,200
IET,ILX,TOOT,0019,N,2025/03/01 10:00:00,700,135
IET,ILX,TOOT,0020,N,2025/03/09 20:00:00,700,135
IET,ILX,TOOT,0023,N,2025/04/13 20:00:00,700,135
IET,AD1,MIOT,0053,E,2025/10/15 17:00:00,700,150
IET,ILX,TOOT,0027,S,2025/04/22 14:00:00,700,135
IET,AD1,MIOT,0054,E,2025/11/12 17:00:00,700,150
IET,AD1,MIOT,0054,W,2025/11/18 13:00:00,700,150
IET,AD1,MIOT,0057,E,2025/12/24 17:00:00,700,150
IET,AD1,MIOT,0049,E,2025/08/20 17:00:00,700,150
IET,IBC,NRIT,0076,S,2025/04/12 10:00:00,1000,100
IET,IBC,NECT,0039,N,2025/08/19 14:00:00,1000,100
IET,IBC,NECT,0040,S,2025/09/15 15:00:00,1000,100
IET,IBC,LAAT,0014,S,2025/06/02 15:00:00,1000,100
TPT,FP1,NVST,0082,E,2025/12/02 14:00:00,8200,800
IET,BBX,MYST,0044,S,2025/12/01 05:00:00,950,200
IET,BBX,LAAT,0021,N,2025/09/05 14:00:00,950,200
IET,IBC,LAAT,0015,N,2025/06/10 14:00:00,1000,100
EAT,JK2,ICLT,0194,W,2026/01/14 08:00:00,25,10
EAT,JT1,TUNT,0014,S,2025/10/01 22:00:00,2200,200
MET,MD2,ORWT,0007,E,2026/03/20 06:00:00,13500,1300
LWT,AX3,SSBT,2501,E,2025/01/04 04:00:00,8900,1000
EAT,JT1,TUNT,0015,N,2025/11/02 12:00:00,2200,200
FET,EA3,LTST,0545,W,2025/11/16 10:00:00,3333,300
EAT,JT1,TUNT,0014,N,2025/10/12 12:00:00,2200,200
IET,AEX,RI1T,0069,S,2025/04/11 22:00:00,2050,240
IET,AEX,RNXT,0007,N,2025/06/10 04:00:00,1900,240
NET,FE3,OSTT,0027,W,2025/10/06 13:00:00,13500,1000
IET,AEX,RI1T,0067,S,2025/01/25 03:00:00,2050,240
IET,AEX,RNXT,0009,N,2025/08/19 04:00:00,1900,240
IET,AEX,RNXT,0004,S,2025/01/23 17:00:00,1900,240
EAT,IAE,LRLT,0003,N,2025/09/27 17:00:00,1800,200
IET,SBX,XSST,0036,S,2025/10/27 05:00:00,1000,100
IET,SBX,XSST,0032,N,2025/08/24 00:30:00,1000,100
IET,SBX,WGGT,0084,S,2025/11/03 05:00:00,1000,100
IET,SBX,XSST,0034,S,2025/09/29 05:00:00,1000,100
IET,SBX,WGGT,0075,N,2025/06/08 00:30:00,1000,100
IET,SBX,WGGT,0074,N,2025/05/04 00:30:00,1000,100
IET,SBX,XSST,0025,S,2025/04/21 05:00:00,1000,100
IET,SBX,WGGT,0081,S,2025/09/22 05:00:00,1000,100
IET,SBX,WGGT,0085,S,2025/11/17 05:00:00,1000,100
FET,MIM,BRFT,0010,E,2025/09/30 21:00:00,1300,195
TPT,EC1,ONNT,0063,E,2025/11/29 05:00:00,7500,630
LWT,AX1,OPPT,2607,E,2026/02/08 15:30:00,8500,1000
LWT,AX1,OERT,2606,E,2026/02/01 15:30:00,8500,1000
NET,FP1,OHNT,0098,E,2025/06/12 12:00:00,8200,800
NET,FP1,OHIT,0062,W,2025/06/17 06:30:00,8200,800
NET,FP1,HLLT,0225,E,2025/05/22 12:00:00,8200,800
NET,FP1,OOHT,0074,E,2025/04/24 12:00:00,8200,784
NET,FP1,OHRT,0099,W,2025/04/16 14:00:00,8200,800
LWT,AX2,OITT,2610,W,2026/04/14 15:00:00,8500,100
TPT,FP1,OOLT,0078,W,2025/10/01 14:00:00,8200,784
WAT,TIP,ONMT,0081,E,2025/12/15 13:00:00,4200,420
LWT,AX2,SBFT,2612,W,2026/04/28 15:00:00,8500,100
TPT,FP1,ONZT,0060,W,2025/12/24 14:00:00,8200,800
TPT,FP1,OHNT,0099,E,2025/11/06 12:00:00,8200,800
WAT,BA2,LSPT,0106,N,2025/11/21 07:00:00,1000,100
WAT,BA2,LSPT,0107,N,2025/12/05 07:00:00,1000,100
LWT,AX1,OPPT,2607,W,2026/03/11 17:00:00,8500,1000
LET,RPX,BAIT,0022,E,2025/07/24 06:00:00,1000,100
LET,RPX,BAIT,0014,E,2025/05/29 06:00:00,1000,100
LET,RPX,BAIT,0034,W,2025/10/13 13:00:00,1000,100
TPT,FP1,HSMT,0088,E,2025/11/20 12:00:00,8200,800
LET,RPX,BAIT,0032,E,2025/10/02 06:00:00,1000,100
NET,FP1,OCNT,0075,W,2026/01/21 14:00:00,8200,800
LET,RPX,BAIT,0041,W,2025/12/01 13:00:00,1000,100
LET,RPX,BAIT,0012,W,2025/05/12 13:00:00,1000,100
LET,RPX,BAIT,0024,E,2025/08/07 06:00:00,1000,100
LET,RPX,BAIT,0011,E,2025/05/08 06:00:00,1000,100
LET,RPX,BAIT,0025,W,2025/08/11 13:00:00,1000,100
LET,SX1,SBST,2540,W,2025/09/30 02:00:00,9150,1300
IET,SCX,LNNT,0022,S,2025/04/22 13:00:00,1000,100
IET,SCX,CPFT,0028,N,2025/06/11 00:00:00,1000,100
IET,SCX,NECT,0044,N,2025/10/29 00:00:00,1000,100
IET,SCX,LAAT,0024,S,2025/10/01 05:00:00,1000,100
IET,SCX,LNNT,0027,N,2025/07/09 00:00:00,1000,100
IET,SCX,NECT,0041,S,2025/09/24 05:00:00,1000,100
IET,SCX,LNNT,0022,N,2025/04/09 00:00:00,1000,100
IET,SCX,NECT,0042,N,2025/10/01 00:00:00,1000,100
IET,SCX,CPFT,0030,S,2025/07/29 13:00:00,1000,100
IET,SCX,TOOT,0037,S,2025/09/17 05:00:00,1000,100
LET,SX2,RDVT,0071,E,2025/10/18 17:00:00,400,50
LET,SX2,ERNT,0111,E,2025/10/29 05:00:00,400,50
LET,SX2,ERNT,0112,E,2026/01/21 05:00:00,400,50
TPT,FP2,WSRT,0001,W,2026/01/10 14:00:00,9700,700
LUT,LUX,NDOT,0021,S,2025/10/29 17:00:00,3200,330
MET,MD2,OFFT,0006,W,2025/10/26 08:00:00,13500,1000
MET,MD2,UERT,0009,E,2025/11/28 06:00:00,13500,1300
MET,MD2,REDT,0011,E,2025/10/03 06:00:00,13500,1300
FET,EA4,GCLT,0545,W,2025/11/06 16:00:00,1000,100
FET,EA4,GCLT,0607,W,2026/02/12 16:00:00,1000,100
FET,SAC,DNCT,0107,W,2026/01/27 03:00:00,3800,300
EAT,SMM,ITXT,0111,N,2026/02/13 13:00:00,900,135
EAT,SMM,ITXT,0099,S,2025/11/14 03:30:00,900,135
EAT,PH3,SEUT,0054,W,2026/01/16 09:00:00,860,100
EAT,PH3,SEUT,0057,E,2026/02/21 16:00:00,860,100
EAT,SMM,ITXT,0101,S,2025/12/05 03:30:00,900,135
EAT,SMM,USNT,0031,S,2025/11/18 02:30:00,900,135
EAT,PH3,SEUT,0055,E,2026/01/24 16:00:00,860,100
EAT,SMM,USNT,0039,N,2026/02/01 18:00:00,900,135
EAT,SMM,ITXT,0099,N,2025/11/09 18:00:00,900,135
EAT,SMM,ITXT,0110,S,2026/02/03 06:00:00,900,135
EAT,SMM,USNT,0042,N,2026/03/05 17:00:00,900,135
EAT,JV2,DAPT,0882,S,2025/12/10 15:00:00,2000,250
EAT,PHX,H1WT,0017,N,2026/03/27 14:00:00,1900,300
EAT,PHX,H1WT,0017,S,2026/04/03 03:00:00,1900,300
FET,EA3,LTST,0601,E,2026/01/29 04:00:00,3333,300
LWT,AX3,ORIT,2604,E,2026/01/24 04:00:00,8900,1000
EAT,JID,NGOT,0027,N,2026/03/14 18:00:00,1000,100
EAT,KCS,ZGST,0005,N,2026/03/11 11:00:00,2000,99
EAT,JID,NGOT,0026,S,2026/01/31 05:00:00,1000,100
EAT,JID,NDDT,0096,S,2025/10/29 22:00:00,1000,100
EAT,JID,NDDT,0096,N,2025/11/01 18:00:00,1000,100
EAT,JID,SIKT,0012,N,2026/01/31 18:00:00,1000,100
EAT,KC2,NIST,0179,N,2026/02/12 07:00:00,2100,200
EAT,KCI,TGBT,2501,S,2025/10/14 08:00:00,2100,260
EAT,JK1,STYT,0252,W,2026/02/07 07:00:00,900,90
EAT,JK1,STYT,0245,E,2025/12/17 13:00:00,900,90
EAT,JK2,ICLT,0202,W,2026/03/11 08:00:00,25,10
EAT,JK2,ICLT,0202,E,2026/03/10 02:00:00,25,10
EAT,JK2,ICLT,0199,W,2026/02/18 08:00:00,25,10
EAT,JK2,ICLT,0194,E,2026/01/13 02:00:00,25,10
EAT,CIM,SGNT,0046,N,2026/02/15 22:00:00,1800,240
EAT,CIM,SGNT,0045,N,2026/01/25 22:00:00,1800,240
EAT,CIM,SGNT,0048,N,2026/03/22 22:00:00,1800,240
EAT,JK1,STYT,0253,E,2026/02/11 13:00:00,900,90
EAT,JK1,STYT,0258,W,2026/03/21 07:00:00,900,90
LET,SX1,PNOT,2608,E,2026/04/06 06:00:00,10000,100
LUT,LUX,NDOT,0023,S,2026/03/04 17:00:00,3200,330
LUT,LUX,NDOT,0023,N,2026/04/09 09:00:00,3200,330
EAT,JPH,SZET,2150,N,2026/02/05 21:00:00,1900,200
EAT,JPH,SZET,2150,S,2026/01/24 15:00:00,1900,200
EAT,JPH,LSFT,0234,N,2026/03/26 21:00:00,1950,240
EAT,JSM,DIAT,0355,S,2026/02/21 09:00:00,1000,100
EAT,KCS,ZGST,0001,S,2025/11/08 10:00:00,2000,99
LET,SX2,MXQT,0099,W,2026/01/21 04:30:00,400,50
EAT,JPH,LSFT,0233,S,2026/02/21 15:00:00,1950,240
EAT,JSM,WQTT,0022,N,2026/04/11 21:00:00,1000,100
EAT,JT1,AXQT,0048,N,2026/02/01 12:00:00,2200,200
EAT,JV2,NCAT,0538,S,2026/03/25 15:00:00,2000,250
LWT,AX3,OPKT,2611,E,2026/03/14 04:00:00,8900,1000
EAT,JV2,ARGT,0271,N,2026/03/07 21:00:00,2000,250
TAT,AL5,NNBT,0092,W,2026/03/24 06:00:00,3800,330
TAT,AL5,NRET,0082,E,2026/02/12 02:00:00,3800,330
TPT,EC2,OAQT,0031,E,2026/02/16 03:30:00,12200,800
TPT,EC2,OWLT,0033,E,2026/03/24 12:00:00,12200,800
OCT,AU1,OMST,0615,N,2026/04/07 03:00:00,7200,700
TPT,EC3,ODDT,0029,E,2026/01/31 05:00:00,12500,800
TPT,EC3,ONGT,0029,E,2025/11/15 05:00:00,12500,800
